206,-178.02,-76.5,0.36,0.06,0.19
481,-178.02,-76.5,0.65,0.15,0.9
206,-178.02,-76.5,0.58,0.15,0.91
481,-178.02,-76.5,0.79,0.15,1.77
206,-178.02,-76.5,0.69,0.11,1.11
481,-178.02,-76.5,0.89,0.2,2.87
206,-178.02,-76.5,1.48,0.63,3.8
481,-178.02,-76.5,5.01,0.46,24.25
481,-178.02,-76.5,5.33,0.67,19.27
481,-178.02,-76.5,0.85,0.05,0
481,-178.02,-76.5,1.46,0.12,0.67
230,167.51,-76.5,40.38,0,167.98
719,167.51,-76.5,26.18,0,179.22
719,167.51,-76.5,68.34,0,443.37
719,167.51,-76.5,85.87,0,631.49
719,167.51,-76.5,40.69,0,343.96
719,167.51,-76.5,46.24,0,423.85
719,167.51,-76.5,76.51,0,770.26
230,167.51,-76.5,180.29,0,681.28
719,167.51,-76.5,69.76,0,420.29
230,167.51,-76.5,78.43,0,367.66
719,167.51,-76.5,56.5,0,364.33
230,167.51,-76.5,5.51,0.45,37.37
719,167.51,-76.5,12.66,0,114.66
719,167.51,-76.5,7.5,0,76.8
719,167.51,-76.5,1.84,0,22.12
719,167.51,-76.5,16.32,0,132.17
230,167.51,-76.5,57.79,2.51,230.72
719,167.51,-76.5,34.92,2.25,263.15
230,167.51,-76.5,0.3,0,1.46
719,167.51,-76.5,43.61,2.71,274.62
230,167.51,-76.5,0.5,0.11,0.66
719,167.51,-76.5,33.53,4.24,279.22
230,167.51,-76.5,0.2,0,0.66
719,167.51,-76.5,8.5,1.59,46.72
719,167.51,-76.5,4.5,0,33.78
719,167.51,-76.5,5.59,0.97,50.26
719,167.51,-76.5,6.59,0.55,68.98
719,167.51,-76.5,4.01,0.43,30.06
719,167.51,-76.5,2.4,0,12.39
719,167.51,-76.5,1.2,0.07,6.58
719,167.51,-76.5,2.4,0.58,20.47
719,167.51,-76.5,5.69,0.09,39.44
719,167.51,-76.5,18.39,0.2,75.44
719,167.51,-76.5,29.34,1.9,90.83
719,167.51,-76.5,65.38,5,100.67
481,-178.0224,-76.4954,3.0745,0.1857,1.334
206,-178.0224,-76.4954,4.2829,0.7872,0.8004
481,-178.0224,-76.4954,7.5176,0.0077,3.0556
481,-178.0224,-76.4954,19.5668,1.2652,10.217
206,-178.0224,-76.4954,17.4892,0.8589,15.5529
481,-178.0224,-76.4954,32.2173,1.9724,35.5831
206,-178.0224,-76.4954,16.2987,1.1753,35.6188
481,-178.0224,-76.4954,41.1928,4.5299,91.5063
206,-178.0224,-76.4954,20.931,5.4447,31.4732
481,-178.0224,-76.4954,20.9239,3.8958,74.6909
481,-178.0224,-76.4954,39.161,9.7903,66.4221
206,-178.0224,-76.4954,59.693,18.5809,26.1089
481,-178.0224,-76.4954,125.7412,40.4929,24.0764
206,-178.0224,-76.4954,16.0384,4.4605,4.4065
481,-178.0224,-76.4954,61.9831,17.4592,5.194
481,-178.0224,-76.4954,3.0979,2.0148,0.5193
481,-178.0224,-76.4954,0.4701,0.1958,0.4864
481,-178.0224,-76.4954,0.6498,0.1487,0.8982
481,-178.0224,-76.4954,0.7891,0.1498,1.7688
481,-178.0224,-76.4954,0.8925,0.2038,2.8745
206,-178.0224,-76.4954,1.4798,0.6287,3.7979
481,-178.0224,-76.4954,5.0453,0.464,24.2444
481,-178.0224,-76.4954,5.3379,0.6683,19.2742
465,-177.8724,-76.4914,1.4356,0.0946,0.2177
465,-177.8724,-76.4914,0.6323,0.0417,0.0958
465,-177.8724,-76.4914,1.6519,0.1089,0.2505
465,-177.8724,-76.4914,1.7089,0.1127,0.2592
465,-177.8724,-76.4914,1.9736,0.1868,0.4398
465,-177.8724,-76.4914,2.632,0.3435,0.5707
465,-177.8724,-76.4914,4.921,0.7004,2.0932
465,-177.8724,-76.4914,16.8023,1.6401,8.1118
465,-177.8724,-76.4914,34.9187,2.3407,41.3077
465,-177.8724,-76.4914,31.0439,3.9956,71.3581
465,-177.8724,-76.4914,18.8272,2.8019,81.2634
465,-177.8724,-76.4914,18.3655,4.989,44.037
465,-177.8724,-76.4914,120.6692,24.0716,23.7549
465,-177.8724,-76.4914,48.9356,9.1639,3.1975
465,-177.8724,-76.4914,9.3411,1.5762,0.307
465,-177.8724,-76.4914,0.5728,0.3519,0.5392
465,-177.8724,-76.4914,0.6297,0.2409,1.042
465,-177.8724,-76.4914,0.5861,0.1206,1.3186
465,-177.8724,-76.4914,0.924,0.1775,4.1453
465,-177.8724,-76.4914,2.6846,0.237,11.4503
465,-177.8724,-76.4914,1.4904,0.2102,7.1662
465,-177.87,-76.49,1.44,0.09,0.22
465,-177.87,-76.49,0.63,0.04,0.1
465,-177.87,-76.49,1.65,0.11,0.25
465,-177.87,-76.49,1.71,0.11,0.26
465,-177.87,-76.49,1.97,0.19,0.44
465,-177.87,-76.49,2.63,0.34,0.57
465,-177.87,-76.49,5.23,0.74,2.22
465,-177.87,-76.49,15.87,1.55,7.66
465,-177.87,-76.49,34.92,2.34,41.32
465,-177.87,-76.49,31.04,4,71.37
465,-177.87,-76.49,18.83,2.8,81.28
465,-177.87,-76.49,18.36,4.99,44.04
465,-177.87,-76.49,120.66,24.07,23.76
465,-177.87,-76.49,48.93,9.16,3.2
465,-177.87,-76.49,9.34,1.58,0.31
465,-177.87,-76.49,0.57,0.35,0.54
465,-177.87,-76.49,0.63,0.24,1.04
465,-177.87,-76.49,0.59,0.12,1.32
465,-177.87,-76.49,0.92,0.18,4.15
465,-177.87,-76.49,2.68,0.24,11.45
465,-177.87,-76.49,1.49,0.21,7.17
200,176.8833,-73.55,5.0404,1.681272,16.2893
460,176.8833,-73.55,3.7203,0.504384,6.7404
200,176.8833,-73.55,1.9202,2.52192,0.4774
460,176.8833,-73.55,3.1203,0.756576,8.1447
460,176.8833,-73.55,0.9961,0.63648,1.4604
200,176.8833,-73.55,2.8802,3.722832,0.8426
460,176.8833,-73.55,1.8001,2.041548,2.7804
460,176.8833,-73.55,1.9202,3.48264,0.2247
460,176.8833,-73.55,1.8001,2.642004,0.6179
460,176.8833,-73.55,2.7602,2.7621,0.8987
200,176.8833,-73.55,3.0003,0.70854,1.6289
460,176.8833,-73.55,9.3608,3.00228,8.1447
200,176.8833,-73.55,3.9603,1.200912,7.8638
460,176.8833,-73.55,15.6013,4.923744,19.0978
200,176.8833,-73.55,12.241,2.161644,42.1275
460,176.8833,-73.55,33.6028,4.203192,82.8508
200,176.8833,-73.55,16.6814,5.043828,12.0765
200,176.8833,-73.55,5.8805,2.041548,1.7974
200,176.8833,-73.55,1.1401,1.321008,1.3762
200,176.8833,-73.55,0.6841,0.204156,0.2808
200,176.8862,-73.5425,4.9855,1.7041,16.3326
529,176.8862,-73.5425,3.7436,0.4986,14.7098
200,176.8862,-73.5425,1.9464,2.4675,0.4892
529,176.8862,-73.5425,3.1165,0.7608,17.5315
529,176.8862,-73.5425,0.9956,0.6355,3.0978
200,176.8862,-73.5425,2.9019,3.6858,0.8445
529,176.8862,-73.5425,1.8037,2.0027,5.9717
529,176.8862,-73.5425,1.8797,3.5093,0.4963
529,176.8862,-73.5425,1.8207,2.6368,1.2919
529,176.8862,-73.5425,2.5501,2.632,1.8182
200,176.8862,-73.5425,2.962,0.7095,1.6368
529,176.8862,-73.5425,4.9506,1.5593,9.1043
200,176.8862,-73.5425,3.9424,1.2124,7.92
529,176.8862,-73.5425,15.1615,4.9071,40.8904
200,176.8862,-73.5425,12.3012,2.1707,40.9715
529,176.8862,-73.5425,33.6469,4.2072,176.9431
200,176.8862,-73.5425,16.686,5.0784,12.0002
200,176.8862,-73.5425,5.9269,2.0544,1.7972
200,176.8862,-73.5425,1.1317,1.3022,1.3871
529,176.8862,-73.5425,4.9166,0.4906,9.7812
200,176.8862,-73.5425,0.6847,0.2047,0.2668
200,176.89,-73.54,5.01,1.7,16.33
